PUID,Name,Version,Extensions,Binary signature?,Container Signature?,Deprecated?
x-fmt/111,Plain Text File,,txt ,X,X,X
x-fmt/112,AutoCAD External Database Configuration File,,udl ,X,X,X
x-fmt/118,Microsoft Works Spreadsheet,2.0,,X,X,Yes
x-fmt/120,Microsoft Works for Windows,4.0,wps ,X,X,X
x-fmt/123,Microsoft Excel Macro,4.0,xla xlm ,X,X,X
x-fmt/124,Microsoft Excel Add-In,,xla xll ,X,X,X
x-fmt/125,Microsoft Excel Toolbar,,xlb ,X,X,X
x-fmt/127,AutoCAD Xref Log,,xlg ,X,X,X
x-fmt/128,Microsoft Excel Workspace,,xlw ,X,X,X
x-fmt/129,Microsoft Word for Macintosh Document,X,,X,X,Yes
x-fmt/130,MS-DOS Text File with line breaks,,,X,X,X
x-fmt/131,Stationery for Mac OS X,,doc ,X,X,X
x-fmt/132,Speller Custom Dictionary,,dic ,X,X,X
x-fmt/133,Speller Exclude Dictionary,,dic ,X,X,X
x-fmt/134,AutoCAD Device-Independent Binary Plotter File,,adi ,X,X,X
x-fmt/135,Audio Interchange File Format,1.3,,X,X,Yes
x-fmt/138,Active Server Page,,asp ,X,X,X
x-fmt/143,OS/2 Change Control File,,cin ,X,X,X
x-fmt/145,Stats+ Data File,,,X,X,X
x-fmt/148,IBM DisplayWrite DCA Text File,,dca ,X,X,X
x-fmt/149,Desktop Color Separation File,,dcs ,X,X,X
x-fmt/152,Digital Video,,dv ,X,X,X
x-fmt/155,AutoCAD Film Roll,,flm ,X,X,X
x-fmt/156,Ventura Publisher,,gen ,X,X,X
x-fmt/160,Java Servlet Page,,jsp ,X,X,X
x-fmt/163,NAP Metafile,,nap ,X,X,X
x-fmt/165,Kodak PhotoCD Image,1.0,,X,X,Yes
x-fmt/166,PICS Animation,,pcs ,X,X,X
x-fmt/167,Adobe PhotoDeluxe,,pdd ,X,X,X
x-fmt/169,PHP Script Page,,php ,X,X,X
x-fmt/171,Inset Systems Bitmap,,pix ,X,X,X
x-fmt/172,Microsoft FoxPro Library,,plb ,X,X,X
x-fmt/175,MacPaint Graphics,,pnt ,X,X,X
x-fmt/177,Microsoft PowerPoint Graphics File,,ppi ,X,X,X
x-fmt/179,Microsoft Visual Modeller Petal file (ASCII),,ptl ,X,X,X
x-fmt/180,Instalit Script,,pvd ,X,X,X
x-fmt/185,Raw Bitmap,,raw ,X,X,X
x-fmt/186,Silicon Graphics RGB File,,,X,X,Yes
